Gradient Profiler Text Data File: 4.24.140128_samp3.csv
Date: 2014-01-28
Time: 18:03:16

User: MK
Experiment name: 4.24.140128
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
11.24, 0.055691, , 
11.26, 0.055648, , 
11.28, 0.055628, , 
11.29, 0.055537, , 
11.31, 0.055279, , 
11.33, 0.055053, , 
11.34, 0.055045, , 
11.36, 0.055104, , 
11.38, 0.055033, , 
11.39, 0.054847, , 
11.41, 0.054625, , 
11.43, 0.054490, , 
11.44, 0.054430, , 
11.46, 0.054458, , 
11.48, 0.054343, , 
11.49, 0.054141, , 
11.51, 0.054034, , 
11.53, 0.054006, , 
11.54, 0.053923, , 
11.56, 0.053713, , 
11.58, 0.053344, , 
11.59, 0.052967, , 
11.61, 0.052995, , 
11.63, 0.053035, , 
11.64, 0.053043, , 
11.66, 0.053011, , 
11.68, 0.053134, , 
11.69, 0.053292, , 
11.71, 0.053181, , 
11.73, 0.052904, , 
11.74, 0.052718, , 
11.76, 0.052813, , 
11.78, 0.052753, , 
11.79, 0.052297, , 
11.81, 0.051651, , 
11.83, 0.051429, , 
11.84, 0.051655, , 
11.86, 0.051925, , 
11.88, 0.051909, , 
11.89, 0.051730, , 
11.91, 0.051588, , 
11.93, 0.051607, , 
11.94, 0.051540, , 
11.96, 0.051385, , 
11.98, 0.051215, , 
12.00, 0.051009, , 
12.01, 0.050715, , 
12.03, 0.050580, , 
12.04, 0.050406, , 
12.06, 0.050394, , 
12.08, 0.050600, , 
12.09, 0.050830, , 
12.11, 0.050854, , 
12.13, 0.050573, , 
12.14, 0.050247, , 
12.16, 0.049982, , 
12.18, 0.049550, , 
12.19, 0.048749, , 
12.21, 0.048166, , 
12.23, 0.048158, , 
12.24, 0.048146, , 
12.26, 0.048118, , 
12.28, 0.048094, , 
12.29, 0.048083, , 
12.31, 0.048439, , 
12.33, 0.049054, , 
12.34, 0.049391, , 
12.36, 0.049466, , 
12.38, 0.049490, , 
12.40, 0.049569, , 
12.41, 0.049728, , 
12.43, 0.049831, , 
12.44, 0.049752, , 
12.46, 0.049561, , 
12.48, 0.049510, , 
12.49, 0.049676, , 
12.51, 0.049819, , 
12.53, 0.049744, , 
12.54, 0.049573, , 
12.56, 0.049486, , 
12.58, 0.049597, , 
12.59, 0.049724, , 
12.61, 0.049704, , 
12.63, 0.049577, , 
12.64, 0.049518, , 
12.66, 0.049637, , 
12.68, 0.049776, , 
12.69, 0.049680, , 
12.71, 0.049577, , 
12.73, 0.049597, , 
12.74, 0.049653, , 
12.76, 0.049653, , 
12.78, 0.049597, , 
12.80, 0.049605, , 
12.81, 0.049637, , 
12.83, 0.049688, , 
12.84, 0.049704, , 
12.86, 0.049609, , 
12.88, 0.049569, , 
12.89, 0.049748, , 
12.91, 0.049930, , 
12.93, 0.049815, , 
12.94, 0.049593, , 
12.96, 0.049490, , 
12.98, 0.049613, , 
12.99, 0.049665, , 
13.01, 0.049446, , 
13.03, 0.049359, , 
13.04, 0.049427, , 
13.06, 0.049700, , 
13.08, 0.050010, , 
13.09, 0.050117, , 
13.11, 0.050124, , 
13.13, 0.050164, , 
13.14, 0.050291, , 
13.16, 0.050378, , 
13.18, 0.050378, , 
13.19, 0.050434, , 
13.21, 0.050573, , 
13.23, 0.050791, , 
13.24, 0.050945, , 
13.26, 0.050941, , 
13.28, 0.050878, , 
13.29, 0.050989, , 
13.31, 0.051235, , 
13.33, 0.051346, , 
13.34, 0.051278, , 
13.36, 0.051251, , 
13.38, 0.051350, , 
13.39, 0.051556, , 
13.41, 0.051766, , 
13.43, 0.051933, , 
13.44, 0.051968, , 
13.46, 0.052059, , 
13.48, 0.052293, , 
13.49, 0.052408, , 
13.51, 0.052452, , 
13.53, 0.052634, , 
