Gradient Profiler Text Data File: 4.24.140214_r1_s1.csv
Date: 2014-02-14
Time: 17:32:53

User: MK
Experiment name: test
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
5.59, 0.185875, , 
5.61, 0.184163, , 
5.63, 0.182767, , 
5.64, 0.181371, , 
5.66, 0.180051, , 
5.68, 0.178869, , 
5.69, 0.177688, , 
5.71, 0.176597, , 
5.73, 0.175364, , 
5.74, 0.174155, , 
5.76, 0.173172, , 
5.78, 0.172006, , 
5.79, 0.170900, , 
5.81, 0.169647, , 
5.83, 0.168398, , 
5.85, 0.167078, , 
5.86, 0.166146, , 
5.88, 0.165040, , 
5.89, 0.163902, , 
5.91, 0.162990, , 
5.93, 0.162137, , 
5.94, 0.161317, , 
5.96, 0.160310, , 
5.98, 0.159235, , 
5.99, 0.158204, , 
6.01, 0.156975, , 
6.03, 0.155897, , 
6.04, 0.154671, , 
6.06, 0.153565, , 
6.08, 0.152594, , 
6.09, 0.151737, , 
6.11, 0.150627, , 
6.13, 0.149462, , 
6.14, 0.148478, , 
6.16, 0.147606, , 
6.18, 0.146948, , 
6.19, 0.146119, , 
6.21, 0.145219, , 
6.23, 0.144430, , 
6.24, 0.143423, , 
6.26, 0.142460, , 
6.28, 0.141559, , 
6.29, 0.140870, , 
6.31, 0.140422, , 
6.33, 0.139771, , 
6.34, 0.139042, , 
6.36, 0.138082, , 
6.38, 0.136936, , 
6.39, 0.136060, , 
6.41, 0.135164, , 
6.43, 0.134415, , 
6.44, 0.133661, , 
6.46, 0.132971, , 
6.48, 0.132202, , 
6.49, 0.131485, , 
6.51, 0.130731, , 
